epochs,batch,wd,lr,train_accuracy,val_accuracy,test_accuracy
3,32,0.1,5e-05,0.9932432432432432,0.9736842105263158,0.9782608695652174
3,32,0.1,0.0001,0.9932432432432432,1.0,0.9782608695652174
3,32,0.01,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
3,32,0.01,2e-05,0.9662162162162162,0.9736842105263158,0.9347826086956522
3,32,0.01,5e-05,0.9932432432432432,0.9736842105263158,0.9782608695652174
3,32,0.01,0.0001,0.9932432432432432,1.0,0.9782608695652174
3,32,0.001,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
3,32,0.001,2e-05,0.9662162162162162,0.9736842105263158,0.9347826086956522
3,32,0.001,5e-05,0.9932432432432432,0.9736842105263158,0.9782608695652174
3,32,0.001,0.0001,0.9932432432432432,1.0,0.9782608695652174
3,32,0.0001,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
3,32,0.0001,2e-05,0.9662162162162162,0.9736842105263158,0.9347826086956522
3,32,0.0001,5e-05,0.9932432432432432,0.9736842105263158,0.9782608695652174
3,32,0.0001,0.0001,0.9932432432432432,1.0,0.9782608695652174
3,64,0.1,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
3,64,0.1,2e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
3,64,0.1,5e-05,0.9797297297297297,1.0,0.9565217391304348
3,64,0.1,0.0001,0.9797297297297297,1.0,0.9782608695652174
3,64,0.01,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
3,64,0.01,2e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
3,64,0.01,5e-05,0.9797297297297297,1.0,0.9565217391304348
3,64,0.01,0.0001,0.9797297297297297,1.0,0.9782608695652174
3,64,0.001,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
3,64,0.001,2e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
3,64,0.001,5e-05,0.9797297297297297,1.0,0.9565217391304348
3,64,0.001,0.0001,0.9797297297297297,1.0,0.9782608695652174
3,64,0.0001,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
3,64,0.0001,2e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
3,64,0.0001,5e-05,0.9797297297297297,1.0,0.9565217391304348
3,64,0.0001,0.0001,0.9797297297297297,1.0,0.9782608695652174
5,8,0.1,1e-05,0.9797297297297297,0.8947368421052632,0.9130434782608695
5,8,0.1,2e-05,0.9932432432432432,1.0,0.9565217391304348
